578,48,1.28,
578,48,0.82,
-1,-1,2,Mon Aug 21 12:20:24 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Mon Aug 21 12:20:26 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Mon Aug 21 12:20:28 EDT 2023->adb shell input swipe 690 450 690 400 100
987,37,7.57,
141,509,1.64,
-1,-1,2,Mon Aug 21 12:20:33 EDT 2023->adb shell input swipe 690 450 690 400 100
185,288,3.38,
134,493,0.05,
-1,-1,2,Mon Aug 21 12:20:38 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Mon Aug 21 12:20:40 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Mon Aug 21 12:20:42 EDT 2023->adb shell input swipe 690 450 690 400 100
134,493,7.43,
991,51,3.72,
